日期,最高温,最低温,天气,风力风向,空气质量指数
2018-04-12,10°,6°,多云,东南偏南风1级
2018-04-13,17°,13°,多云~晴,南风2级
2018-04-14,27°,16°,晴,西南风2级
2018-04-15,25°,5°,晴~中雨,东北偏北风2级
2018-04-16,6°,3°,小雨~中雨,东北偏东风3级
2018-04-17,15°,5°,中雨~多云,东南偏南风2级
2018-04-18,8°,3°,小雨~晴,西风2级
2018-04-19,12°,6°,多云~小雨,西风2级
2018-04-20,7°,2°,小雨~晴,西北偏北风2级
2018-04-21,10°,3°,晴,西北风2级
2018-04-22,17°,6°,晴,西北偏西风2级
2018-04-23,19°,7°,晴,西北偏西风1级
2018-04-24,20°,7°,晴,东南偏东风2级
2018-04-25,18°,11°,多云~中雨,东南风2级
2018-04-26,15°,11°,中雨~小雨,东南偏东风1级
2018-04-27,21°,11°,晴~多云,西北偏西风2级
2018-04-28,13°,10°,中雨~多云,东北偏东风1级
2018-04-29,20°,9°,晴~大雨,东南偏南风1级
2018-04-30,15°,6°,多云,西北风2级
2018-05-01,11°,8°,小雨~多云,西北偏西风2级
2018-05-02,26°,17°,晴,西风2级
2018-05-03,32°,20°,晴,西南偏西风2级
2018-05-04,33°,21°,小雨~雷阵雨,西南风2级
2018-05-05,28°,16°,晴~多云,西南偏南风1级
2018-05-06,24°,14°,晴~小雨,西南偏西风1级
2018-05-07,18°,12°,多云,东北偏东风2级
2018-05-08,25°,12°,晴~多云,东北偏东风1级
2018-05-10,25°,12°,晴,东南偏南风2级
2018-05-11,19°,14°,小雨~雷阵雨,东南偏南风2级
2018-05-12,23°,11°,晴~小雨,西北风2级
2018-05-13,15°,10°,大雨~小雨,东北偏东风2级
2018-05-14,12°,12°,中雨,东风1级
2018-05-15,22°,15°,多云~小雨,西南偏南风1级
2018-05-16,31°,16°,雷阵雨~大雨,西南偏南风2级
2018-05-17,18°,14°,小雨~中雨,东风2级
2018-05-18,22°,16°,小雨~多云,西北偏北风1级
2018-05-19,18°,10°,多云~小雨,东北偏东风2级
2018-05-20,15°,13°,中雨,东风2级
2018-05-21,27°,16°,多云~晴,西风2级
2018-05-22,26°,14°,晴~多云,西南偏西风1级
2018-05-23,20°,14°,中雨~小雨,东南偏南风1级
2018-05-24,27°,16°,晴,西北风1级
2018-05-25,28°,17°,晴,西北风1级
2018-05-26,30°,22°,晴,西南风2级
2018-05-27,32°,19°,多云~大雨,西南风1级
2018-05-28,17°,13°,小雨,东北偏东风3级
2018-05-29,21°,16°,多云,东南偏南风1级
2018-05-30,32°,19°,多云~晴,南风1级
2018-05-31,26°,14°,多云~小雨,东南风2级
2018-06-01,20°,17°,小雨,东南风1级
2018-06-02,27°,21°,多云~小雨,东风1级
2018-06-03,31°,16°,晴~小雨,东北偏北风2级
2018-06-04,17°,12°,多云~中雨,东风2级
2018-06-05,22°,15°,多云,东北偏北风2级
2018-06-06,24°,14°,雷阵雨,西风2级
2018-06-07,22°,14°,多云~晴,西北偏西风1级
2018-06-08,22°,16°,多云,东南偏南风2级
2018-06-09,28°,19°,多云~晴,西南偏西风2级
2018-06-10,28°,18°,晴~多云,北风1级
2018-06-11,21°,14°,中雨,东南风1级
2018-06-12,23°,13°,晴,东风2级
2018-06-13,24°,17°,晴,南风2级
2018-06-14,26°,20°,小雨~大雨,西南风1级
2018-06-15,29°,17°,晴,西北偏西风3级
2018-06-16,24°,17°,多云~晴,北风2级
2018-06-17,29°,21°,晴,西风1级
2018-06-18,33°,22°,晴,西南偏南风1级
2018-06-19,33°,23°,晴~大雨,西南偏南风2级
2018-06-20,31°,20°,晴,西北偏北风2级
2018-06-21,28°,19°,多云~中雨,东南偏南风1级
2018-06-22,28°,18°,小雨~晴,东风1级
2018-06-23,24°,17°,小雨~中雨,东风2级
2018-06-24,19°,19°,多云~大雨,东北风2级
